user_id,Attention,MemoryRecall,ProcessingSpeed,Reasoning,WorkingMemory,education_level,country,time_of_day,grand_index,gender_reclassified,age_band_derive,filter_$
1408063,8,4,6,240.5,8,1,US,12,96.584,Male,46-60,1
1409543,18,15,6,201.5,8,4,US,7,121.448,Female,46-60,1
1409991,22,8,8,206,7,4,US,16,126.923,Male,31-45,1
1411453,18,9,8,201.5,8,4,AU,20,116.946,Female,31-45,1
1416846,15,1,6,229.5,9,6,US,11,95.457,Female,46-60,1
1417331,14,12,8,206,11,3,US,7,130.877,Male,18-30,1
1418138,12,5,5,261.5,8,4,US,5,87.674,Male,46-60,1
1418898,15,3,6,233.5,8,4,US,12,99.342,Female,46-60,1
1420543,11,7,6,267.5,7,6,US,17,97.994,Male,46-60,1
1420915,7,7,5,212.5,8,8,US,15,95.457,Male,18-30,1
1421095,20,13,6,208.5,7,6,US,23,114.749,Female,46-60,1
1422641,14,7,5,220.5,7,6,US,17,95.762,Female,46-60,1
1428566,11,5,5,255,8,9,US,8,97.352, ,61+,1
1430374,23,8,7,158.5,9,4,US,15,131.742,Male,18-30,1
1432281,8,8,5,225,8,2,US,9,91.153,Female,46-60,1
1433063,17,17,5,196,11,3,US,17,122.641,Male,46-60,1
1434255,15,6,4,222,7,4,US,12,86.593,Female,31-45,1
1440213,18,13,7,184.5,9,4,CA,11,126.191,Female,31-45,1
1441125,15,6,5,203,8,4,AU,15,108.836,Female,61+,1
1441316,25,11,7,179.5,9,8,US,13,136.195,Male,18-30,1
1442536,8,8,4,242.5,7,4,US,12,78.844,Female,61+,1
1443365,11,10,5,281,7,4,US,12,87.51,Female,61+,1
1445542,10,14,6,309.5,10,4,US,11,108.505,Female,46-60,1
1445850,8,7,6,223,9,6,US,19,93.969,Female,61+,1
1446314,18,4,6,284.5,9,3,US,12,105.037,Female,46-60,1
1447525,18,6,7,241.5,9,4,US,16,112.317,Female,46-60,1
1447550,13,9,5,184.5,9,4,US,15,109.899,Female,46-60,1
1448470,11,10,6,330.5,7,3,US,13,91.775,Female,61+,1
1450551,12,10,6,271.5,7,3,US,19,96.904,Male,46-60,1
1450868,5,3,5,200.5,6,4,US,14,77.223,Female,31-45,1
1451311,14,3,6,273.5,6,4,NZ,14,87.364,Female,46-60,1
1451384,10,7,7,154.5,9,2,CA,0,119.094,Male,31-45,1
1456457,9,9,6,264,10,3,AU,13,92.56,Female,61+,1
